103001,americano-tall,Americano,espresso-drinks,tall,{espresso-shot},{1.00000000000000000},3.35
103002,americano-grande,Americano,espresso-drinks,grande,{espresso-shot},{2.00000000000000000},3.65
103003,americano-venti,Americano,espresso-drinks,venti,{espresso-shot},{3.00000000000000000},3.95
103004,capp-tall,Cappuccino,espresso-drinks,tall,"{espresso-shot,2p-milk}","{1.00000000000000000,11.00000000000000000}",4.35
103005,capp-grande,Cappuccino,espresso-drinks,grande,"{espresso-shot,2p-milk}","{2.00000000000000000,14.00000000000000000}",4.65
103006,capp-venti,Cappuccino,espresso-drinks,venti,"{espresso-shot,2p-milk}","{3.00000000000000000,21.00000000000000000}",4.95
103007,latte-tall,Caffe Latte,espresso-drinks,tall,"{espresso-shot,2p-milk}","{1.00000000000000000,11.00000000000000000}",4.35
103008,latte-grande,Caffe Latte,espresso-drinks,grande,"{espresso-shot,2p-milk}","{2.00000000000000000,14.00000000000000000}",4.65
103009,latte-venti,Caffe Latte,espresso-drinks,venti,"{espresso-shot,2p-milk}","{3.00000000000000000,21.00000000000000000}",4.95
103010,CRML-MACO-tall,Caramel Macchiato,espresso-drinks,tall,"{espresso-shot,2p-milk,vanilla-syrup,caramel}","{1.00000000000000000,11.00000000000000000,1.00000000000000000,1.00000000000000000}",4.65
103011,CRML-MACO-grande,Caramel Macchiato,espresso-drinks,grande,"{espresso-shot,2p-milk,vanilla-syrup,caramel}","{2.00000000000000000,14.00000000000000000,2.00000000000000000,2.00000000000000000}",5.45
103012,CRML-MACO-venti,Caramel Macchiato,espresso-drinks,venti,"{espresso-shot,2p-milk,vanilla-syrup,caramel}","{3.00000000000000000,21.00000000000000000,3.00000000000000000,3.00000000000000000}",5.65
103013,mocha-tall,Caffe Mocha,espresso-drinks,tall,"{espresso-shot,2p-milk,mocha-sauce,whipped-cream}","{1.00000000000000000,11.00000000000000000,1.00000000000000000,1.00000000000000000}",4.45
103014,mocha-grande,Caffe Mocha,espresso-drinks,grande,"{espresso-shot,2p-milk,mocha-sauce,whipped-cream}","{2.00000000000000000,14.00000000000000000,2.00000000000000000,2.00000000000000000}",5.25
103015,mocha-venti,Caffe Mocha,espresso-drinks,venti,"{espresso-shot,2p-milk,mocha-sauce,whipped-cream}","{3.00000000000000000,21.00000000000000000,3.00000000000000000,3.00000000000000000}",5.45
103016,wht-mocha-tall,White Chocolate Mocha ,espresso-drinks,tall,"{white-chocolate,espresso-shot,2p-milk,whipped-cream}","{1.00000000000000000,1.00000000000000000,9.00000000000000000,1.00000000000000000}",4.45
103017,wht-mocha-grande,White Chocolate Mocha ,espresso-drinks,grande,"{white-chocolate,espresso-shot,2p-milk,whipped-cream}","{2.00000000000000000,2.00000000000000000,13.00000000000000000,2.00000000000000000}",5.25
103018,wht-mocha-venti,White Chocolate Mocha ,espresso-drinks,venti,"{white-chocolate,espresso-shot,2p-milk,whipped-cream}","{3.00000000000000000,3.00000000000000000,20.00000000000000000,3.00000000000000000}",5.45
103019,cinn-dolce-tall,CInnamon Dolce Latte,espresso-drinks,tall,"{cinnamon-dolce-syrup,espresso-shot,reg-milk,cinnamon-dolce-topping,whipped-cream}","{1.00000000000000000,1.00000000000000000,10.00000000000000000,1.00000000000000000,1.00000000000000000}",4.95
103020,cinn-dolce-grande,CInnamon Dolce Latte,espresso-drinks,grande,"{cinnamon-dolce-syrup,espresso-shot,reg-milk,cinnamon-dolce-topping,whipped-cream}","{2.00000000000000000,2.00000000000000000,12.00000000000000000,2.00000000000000000,2.00000000000000000}",5.65
103021,cinn-dolce-venti,CInnamon Dolce Latte,espresso-drinks,venti,"{cinnamon-dolce-syrup,espresso-shot,reg-milk,cinnamon-dolce-topping,whipped-cream}","{3.00000000000000000,3.00000000000000000,20.00000000000000000,3.00000000000000000,3.00000000000000000}",5.95
103022,TNL-latte-tall,Toffee Nut Latte,espresso-drinks,tall,"{espresso-shot,toffee-nut-syrup,reg-milk,whipped-cream}","{1.00000000000000000,1.00000000000000000,8.00000000000000000,1.00000000000000000}",5.15
103023,TNL-latte-grande,Toffee Nut Latte,espresso-drinks,grande,"{espresso-shot,toffee-nut-syrup,reg-milk,whipped-cream}","{2.00000000000000000,2.00000000000000000,13.00000000000000000,2.00000000000000000}",5.45
103024,TNL-latte-venti,Toffee Nut Latte,espresso-drinks,venti,"{espresso-shot,toffee-nut-syrup,reg-milk,whipped-cream}","{3.00000000000000000,3.00000000000000000,20.00000000000000000,3.00000000000000000}",5.75
